[0.062s] Invoking command in '/home/aliomacc/sti_usv/build/workspace_gz': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/aliomacc/ros2_ws/install/actions_py:/home/aliomacc/ros2_ws/install/lifecycle_py:/opt/ros/humble /usr/bin/cmake --build /home/aliomacc/sti_usv/build/workspace_gz -- -j8 -l8
[0.874s] [  3%] Built target Waves
[0.874s] [  7%] Built target ScoringPlugin
[0.874s] [ 11%] Built target SimpleHydrodynamics
[0.875s] [ 15%] Built target Surface
[0.875s] [ 18%] Built target USVWind
[0.875s] [ 26%] Built target PolyhedraBuoyancyDrag
[0.875s] [ 32%] Built target AcousticPerceptionScoringPlugin
[0.875s] [ 37%] Built target WayfindingScoringPlugin
[0.875s] [ 41%] Built target WaveVisual
[0.875s] [ 47%] Built target StationkeepingScoringPlugin
[0.876s] [ 52%] Built target AcousticTrackingScoringPlugin
[0.876s] [ 56%] Built target LightBuoyPlugin
[0.877s] [ 60%] Built target AcousticPingerPlugin
[0.877s] [ 64%] Built target BallShooterPlugin
[0.877s] [ 69%] Built target NavigationScoringPlugin
[0.877s] [ 75%] Built target GymkhanaScoringPlugin
[0.877s] [ 81%] Built target PerceptionScoringPlugin
[0.877s] [ 84%] Built target PlacardPlugin
[0.878s] [ 94%] Built target PublisherPlugin
[0.878s] [ 94%] Built target ScanDockScoringPlugin
[0.878s] [100%] Built target WildlifeScoringPlugin
[1.495s] Invoked command in '/home/aliomacc/sti_usv/build/workspace_gz' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/aliomacc/ros2_ws/install/actions_py:/home/aliomacc/ros2_ws/install/lifecycle_py:/opt/ros/humble /usr/bin/cmake --build /home/aliomacc/sti_usv/build/workspace_gz -- -j8 -l8
[1.531s] Invoking command in '/home/aliomacc/sti_usv/build/workspace_gz': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/aliomacc/ros2_ws/install/actions_py:/home/aliomacc/ros2_ws/install/lifecycle_py:/opt/ros/humble /usr/bin/cmake --install /home/aliomacc/sti_usv/build/workspace_gz
[1.547s] -- Install configuration: ""
[1.548s] -- Execute custom install script
[1.550s] -- Up-to-date symlink: /home/aliomacc/sti_usv/install/workspace_gz/lib/workspace_gz/libWaves.so
[1.550s] -- Up-to-date symlink: /home/aliomacc/sti_usv/install/workspace_gz/lib/workspace_gz/libScoringPlugin.so
[1.550s] -- Up-to-date symlink: /home/aliomacc/sti_usv/install/workspace_gz/lib/workspace_gz/libSimpleHydrodynamics.so
[1.551s] -- Up-to-date symlink: /home/aliomacc/sti_usv/install/workspace_gz/lib/workspace_gz/libPolyhedraBuoyancyDrag.so
[1.551s] -- Up-to-date symlink: /home/aliomacc/sti_usv/install/workspace_gz/lib/workspace_gz/libSurface.so
[1.551s] -- Up-to-date symlink: /home/aliomacc/sti_usv/install/workspace_gz/lib/workspace_gz/libUSVWind.so
